Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-10-06 10:48,Time Exit,25136.25,1,25140.5,85,0.02,640,0.13,-95,-0.02,85,0.09
1,Entry short,2025-10-06 10:39,short,25140.5,1,25140.5,85,0.02,640,0.13,-95,-0.02,85,0.09
2,Exit short,2025-10-07 10:40,Time Exit,25198.25,1,25212.25,280,0.06,510,0.10,-380,-0.08,365,0.37
2,Entry short,2025-10-07 10:31,short,25212.25,1,25212.25,280,0.06,510,0.10,-380,-0.08,365,0.37
3,Exit short,2025-10-07 11:15,Time Exit,25110,1,25116.75,135,0.03,1275,0.25,-85,-0.02,500,0.50
3,Entry short,2025-10-07 11:06,short,25116.75,1,25116.75,135,0.03,1275,0.25,-85,-0.02,500,0.50
4,Exit short,2025-10-07 11:51,Time Exit,24992.5,1,25042.5,1000,0.20,1115,0.22,-510,-0.10,1500,1.50
4,Entry short,2025-10-07 11:42,short,25042.5,1,25042.5,1000,0.20,1115,0.22,-510,-0.10,1500,1.50
5,Exit short,2025-10-08 10:15,Time Exit,25210,1,25210.5,10,0.00,175,0.03,-410,-0.08,1510,1.51
5,Entry short,2025-10-08 10:06,short,25210.5,1,25210.5,10,0.00,175,0.03,-410,-0.08,1510,1.51
6,Exit long,2025-10-08 10:44,Time Exit,25199.75,1,25213.5,-275,-0.05,85,0.02,-370,-0.07,1235,1.23
6,Entry long,2025-10-08 10:35,long,25213.5,1,25213.5,-275,-0.05,85,0.02,-370,-0.07,1235,1.23
7,Exit long,2025-10-08 12:08,Time Exit,25257,1,25253.25,75,0.01,125,0.02,-130,-0.03,1310,1.31
7,Entry long,2025-10-08 11:59,long,25253.25,1,25253.25,75,0.01,125,0.02,-130,-0.03,1310,1.31
8,Exit long,2025-10-08 12:30,Time Exit,25253,1,25265.75,-255,-0.05,95,0.02,-345,-0.07,1055,1.06
8,Entry long,2025-10-08 12:21,long,25265.75,1,25265.75,-255,-0.05,95,0.02,-345,-0.07,1055,1.06
9,Exit short,2025-10-09 10:13,Time Exit,25272.5,1,25276.75,85,0.02,295,0.06,-240,-0.05,1140,1.14
9,Entry short,2025-10-09 10:04,short,25276.75,1,25276.75,85,0.02,295,0.06,-240,-0.05,1140,1.14
10,Exit short,2025-10-09 10:23,Time Exit,25259.75,1,25274.5,295,0.06,605,0.12,-60,-0.01,1435,1.44
10,Entry short,2025-10-09 10:14,short,25274.5,1,25274.5,295,0.06,605,0.12,-60,-0.01,1435,1.44
11,Exit short,2025-10-09 10:48,Time Exit,25207.25,1,25222.5,305,0.06,580,0.11,-210,-0.04,1740,1.74
11,Entry short,2025-10-09 10:39,short,25222.5,1,25222.5,305,0.06,580,0.11,-210,-0.04,1740,1.74
12,Exit short,2025-10-09 11:41,Time Exit,25215.75,1,25221.5,115,0.02,475,0.09,-285,-0.06,1855,1.86
