Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-10-07 12:37,short_exit,25085,1,25038.75,-925,-0.18,1080,0.22,-925,-0.18,-925,-0.92
1,Entry short,2025-10-07 11:44,short,25038.75,1,25038.75,-925,-0.18,1080,0.22,-925,-0.18,-925,-0.92
2,Exit short,2025-10-07 16:00,Daily Close,25058,1,25045.5,-250,-0.05,1090,0.22,-550,-0.11,-1175,-1.17
2,Entry short,2025-10-07 13:03,short,25045.5,1,25045.5,-250,-0.05,1090,0.22,-550,-0.11,-1175,-1.17
3,Exit long,2025-10-08 12:49,long_exit,25236.5,1,25254.5,-360,-0.07,435,0.09,-360,-0.07,-1535,-1.53
3,Entry long,2025-10-08 12:02,long,25254.5,1,25254.5,-360,-0.07,435,0.09,-360,-0.07,-1535,-1.53
4,Exit long,2025-10-08 15:51,long_exit,25324,1,25267.25,1135,0.22,1135,0.22,-130,-0.03,-400,-0.40
4,Entry long,2025-10-08 13:38,long,25267.25,1,25267.25,1135,0.22,1135,0.22,-130,-0.03,-400,-0.40
5,Exit long,2025-10-09 16:00,Daily Close,25289.5,1,25221.75,1355,0.27,1560,0.31,-340,-0.07,955,0.96
5,Entry long,2025-10-09 14:20,long,25221.75,1,25221.75,1355,0.27,1560,0.31,-340,-0.07,955,0.96
6,Exit short,2025-10-10 15:55,short_exit,24388.25,1,24867.25,9580,1.93,9580,1.93,-820,-0.16,10535,10.54
6,Entry short,2025-10-10 11:46,short,24867.25,1,24867.25,9580,1.93,9580,1.93,-820,-0.16,10535,10.54
7,Exit short,2025-10-13 12:49,short_exit,24931,1,24885.5,-910,-0.18,670,0.13,-910,-0.18,9625,9.63
7,Entry short,2025-10-13 11:32,short,24885.5,1,24885.5,-910,-0.18,670,0.13,-910,-0.18,9625,9.63
8,Exit long,2025-10-14 12:51,long_exit,24943.75,1,24764.75,3580,0.72,3580,0.72,-40,-0.01,13205,13.21
8,Entry long,2025-10-14 12:08,long,24764.75,1,24764.75,3580,0.72,3580,0.72,-40,-0.01,13205,13.21
9,Exit long,2025-10-15 11:48,long_exit,24931.5,1,24972,-810,-0.16,685,0.14,-810,-0.16,12395,12.40
9,Entry long,2025-10-15 11:37,long,24972,1,24972,-810,-0.16,685,0.14,-810,-0.16,12395,12.40
